,Rejection Sampling,Importance Sampling,Metropolis Hastings,Particle Filter,Particle Cascade,Particle-Independent Metropolis-Hastings
sprinkler,0.000828,0.807,7.41e-05,0.00431,0.707,0.32
hmm,0.0445,0.351,0.141,0.692,0.0445,0.0445
