model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,508.666666667,821.0,656.666666667,7.69344502133,115.756212792,24.4862035229
smc,508.333333333,800.666666667,441.0,8.38373734392,27.6002726771,12.2227474635
rej,7.33333333333,787.0,290.666666667,2.82272261531,54.5367040523,2.9700929029
