model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,190.0,755.0,470.666666667,5.14435181102,7.21630253123,15.4974559441
smc,192.666666667,796.333333333,249.666666667,1.06688886575,40.1928344452,1.92336125533
rej,9.33333333333,748.666666667,198.0,1.41136130765,16.6397044133,2.44454949269
