n,rejection,err
1.000000000000000,88.097572326660156,29.459195985962470
1112.000000000000000,87.367057800292969,2.270215438000020
2223.000000000000000,72.687943776448563,3.090650289846025
3334.000000000000000,97.362677256266281,29.503906819917027
4445.000000000000000,144.175370534261077,3.055568289937412
5556.000000000000000,119.957685470581055,37.739363668652757
6667.000000000000000,168.587684631347656,10.064756809210335
7778.000000000000000,126.839240392049149,37.821024517698760
8889.000000000000000,136.090675989786774,39.590329066641914
10000.000000000000000,122.680346171061203,21.792181747384447
