model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,1187.33333333,797.666666667,473.333333333,82.363198542,7.85812719183,20.5012071912
smc,974.666666667,808.666666667,256.333333333,14.1136130765,13.4635287873,5.8678887616
rej,63.0,815.0,211.333333333,1.8479057215,20.3898624049,32.5532252484
