model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,964.666666667,774.666666667,455.333333333,35.2356099338,15.3034413946,14.7350446467
smc,949.666666667,779.333333333,270.666666667,23.3986995523,15.2475552382,8.78160366693
rej,64.3333333333,776.0,197.0,5.25381836452,16.707970154,3.695811443
