n,mh,err
1.000000000000000,4.093567530314128,1.863181038379806
1112.000000000000000,64.611991246541336,16.867110145536184
2223.000000000000000,104.294617970784500,1.091121196780619
3334.000000000000000,156.890233357747405,6.912254579628072
4445.000000000000000,216.363668441772461,29.256793583823441
5556.000000000000000,401.921351750691713,103.760684313769090
6667.000000000000000,405.028740564982115,127.346898141570605
7778.000000000000000,497.365236282348633,168.663312591673332
8889.000000000000000,508.547941843668639,112.107093516283285
10000.000000000000000,577.346245447794558,79.304361494542178
