n,mh,err
1.000000000000000,39.048671722412109,11.961933493585185
1112.000000000000000,533.447980880737305,4.447587037917679
2223.000000000000000,1044.840494791666742,16.173153513907355
3334.000000000000000,1711.239655812581304,265.243830855989586
4445.000000000000000,2113.669395446777344,78.557374814536487
5556.000000000000000,3263.396739959716797,462.249056436145679
6667.000000000000000,4515.074888865153298,1038.108785345815932
7778.000000000000000,5810.366392135620117,1650.159742802128676
8889.000000000000000,6179.003715515136719,379.638039993743291
10000.000000000000000,6510.868310928344727,558.145295195132235
