model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
coin,1112.0,788.0,245.0,43.0,4.0,2.0
hmm,718.0,756.5,246.0,141.0,3.5,2.0
linreg,397.5,5303.0,259.0,15.5,417.0,3.0
