model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,272.0,632.666666667,112.0,5.5437171645,26.7999425096,3.33135941555
smc,271.666666667,638.666666667,89.3333333333,2.9700929029,9.61680627667,2.82272261531
rej,29.7,686.0,88.0,7.3,134.278676722,2.44454949269
