model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,489.666666667,733.0,136.333333333,0.533444432873,3.33135941555,21.5170616196
smc,487.666666667,783.666666667,123.333333333,2.66722216436,62.7358776199,16.0654476255
rej,"119.39053,",863.333333333,69.0,5.003852367401123,93.3573480216,1.8479057215
