model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,170.0,739.0,271.0,0.92395286075,25.5218459799,8.46816784592
smc,172.0,718.666666667,297.0,1.60033329862,22.487071512,14.521059037
rej,687.47125,735.666666667,229.666666667,687.47125,16.5625691333,18.3476969995
