n,pc,err
1.000000000000000,22.979879379272461,16.034683871764226
527.263157894736878,256.047511100769043,25.457144253433551
1053.526315789473756,506.285595893859863,155.454560321385117
1579.789473684210634,826.325488090515137,164.060625601992598
2106.052631578947512,947.056698799133301,50.984504815706373
2632.315789473684163,1155.624103546142578,33.675515281610600
3158.578947368421268,1545.304989814758301,528.917362421631083
3684.842105263158373,3682.055068016052246,1211.459909415464381
4211.105263157895024,4635.029482841491699,907.411028036517905
4737.368421052631675,4919.533157348632812,762.523692221886336
5263.631578947368325,5720.775103569030762,1047.616448598073703
5789.894736842105885,5925.436234474182129,2303.944463855666982
6316.157894736842536,5462.766957283020020,1222.019283252302785
6842.421052631579187,5890.764975547790527,1677.507507080403911
7368.684210526316747,5550.598096847534180,445.755675125249638
7894.947368421053397,5770.956420898437500,225.953756358435584
8421.210526315790048,6109.922218322753906,169.818177998612583
8947.473684210526699,8041.934990882873535,3120.758175781206319
9473.736842105263349,6903.075671195983887,383.287206960316723
10000.000000000000000,7211.474370956420898,233.070182111529846
