n,mh,err
1.000000000000000,25.166034698486328,0.986667838883672
527.263157894736878,1138.410449028015137,454.508573024892655
1053.526315789473756,1412.862539291381836,0.644341020034548
1579.789473684210634,3821.935415267944336,3.410711799382874
2106.052631578947512,7022.603511810302734,790.987088431149118
2632.315789473684163,10251.346588134765625,273.248174600743198
3158.578947368421268,9602.956056594848633,2686.701812180915567
3684.842105263158373,8358.624577522277832,1957.074823440718092
4211.105263157895024,16249.037027359008789,3628.138233183331522
4737.368421052631675,16747.058510780334473,905.622625383726472
5263.631578947368325,9796.404004096984863,85.373202566823650
5789.894736842105885,19083.273530006408691,1288.045298968784891
6316.157894736842536,9304.048418998718262,68.311052356308821
6842.421052631579187,28373.549818992614746,6160.012167738376775
7368.684210526316747,12257.709622383117676,1104.254127276714826
7894.947368421053397,22116.615891456604004,1073.277515346377186
8421.210526315790048,33291.532993316650391,276.268316612597403
8947.473684210526699,16752.904534339904785,59.906862867304362
9473.736842105263349,75422.846436500549316,1021.331733605068848
10000.000000000000000,49173.386454582214355,9643.543754461339631
