,Rejection Sampling,Importance Sampling,Metropolis Hastings,Particle Filter,Particle Cascade,Particle-Independent Metropolis-Hastings
Sprinkler,0.927,0.193,0.927,0.421,0.808,0.193
HMM,0.955,0.955,0.649,0.859,0.859,0.955
