n,importance,mh,smc
1.000000000000000,3.443002700805664,0.742912292480469,7.997035980224609
527.263157894736878,93.678951263427734,15.708208084106445,3242.660045623779297
1053.526315789473756,100.429058074951172,37.817001342773438,6355.975866317749023
1579.789473684210634,146.144866943359375,60.561895370483398,9532.150030136108398
2106.052631578947512,193.114995956420898,97.342014312744141,12880.295038223266602
2632.315789473684163,249.341964721679688,199.041128158569336,16041.845083236694336
3158.578947368421268,292.715787887573242,214.334011077880859,19917.258024215698242
3684.842105263158373,342.016935348510742,284.917116165161133,27028.592824935913086
4211.105263157895024,410.475015640258789,226.493120193481445,28160.418987274169922
4737.368421052631675,486.399173736572266,231.420040130615234,29883.848905563354492
5263.631578947368325,566.233873367309570,291.876077651977539,33322.273015975952148
5789.894736842105885,605.296850204467773,394.075155258178711,36608.078002929687500
6316.157894736842536,663.563966751098633,426.122903823852539,41948.512077331542969
6842.421052631579187,705.562114715576172,280.168056488037109,50706.829071044921875
7368.684210526316747,783.295869827270508,334.110021591186523,48588.600158691406250
7894.947368421053397,830.487966537475586,633.015155792236328,56927.087068557739258
8421.210526315790048,863.591909408569336,492.692947387695312,59168.254852294921875
8947.473684210526699,1154.299020767211914,530.394077301025391,59894.268035888671875
9473.736842105263349,1409.270048141479492,593.319892883300781,71584.347009658813477
10000.000000000000000,1363.323926925659180,428.519010543823242,69574.278831481933594
