n,importance,err
1.000000,93.564272,26.562733,
1112.000000,4884.022315,234.172546,
2223.000000,13651.964347,1544.463282,
3334.000000,25033.702294,922.782347,
4445.000000,34585.411390,6142.593000,
5556.000000,35239.089012,8254.851036,
6667.000000,41141.508659,1360.263278,
7778.000000,51449.652354,7688.520472,
8889.000000,59911.006292,9805.358168,
10000.000000,72889.560699,14495.956612,
