model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
coin,1446.0,1097.0,256.5,137.0,243.0,4.5
hmm,645.5,804.0,259.5,126.5,27.0,9.5
linreg,211.0,5618.0,251.5,1.0,567.0,1.5
