model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,22324.0,108136.0,390445.333333,69.241005192,3093.48248744,7049.27213736
smc,22224.0,107088.0,372276.0,32.8490906351,1662.13341633,31819.5966034
rej,15897.3333333,109692.0,389738.666667,45.9134231966,3808.76097495,5231.42642827
