Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00      221     0.00     0.00  caml_md5_string
  0.00      0.07     0.00      221     0.00     0.00  parse_format
  0.00      0.07     0.00      210     0.00     0.00  caml_init_ieee_floats
  0.00      0.07     0.00      200     0.00     0.00  camlPpl__Monad__fun_929
  0.00      0.07     0.00      184     0.00     0.00  camlStdlib__map__add_188
  0.00      0.07     0.00      161     0.00     0.00  caml_string_compare
  0.00      0.07     0.00      159     0.00     0.00  caml_string_equal
  0.00      0.07     0.00      140     0.00     0.00  do_set
  0.00      0.07     0.00      135     0.00     0.00  camlStdlib__bytes__make_92
  0.00      0.07     0.00      135     0.00     0.00  caml_fill_bytes
  0.00      0.07     0.00      135     0.00     0.00  caml_fill_string
  0.00      0.07     0.00      134     0.00     0.00  caml_fresh_oo_id
  0.00      0.07     0.00      129     0.00     0.00  camlStdlib__bytes__sub_110
  0.00      0.07     0.00      115     0.00     0.00  camlStdlib__bytes__copy_102
  0.00      0.07     0.00      114     0.00     0.00  camlStdlib__map__find_200
  0.00      0.07     0.00      110     0.00     0.00  camlStdlib__list__rev_append_115
  0.00      0.07     0.00      110     0.00     0.19  caml_gc_dispatch
  0.00      0.07     0.00      100     0.00     0.00  camlPpl__Mh__fun_3805
  0.00      0.07     0.00      100     0.00     0.00  camlPpl__Mh__fun_3810
  0.00      0.07     0.00      100     0.00     0.00  camlPpl__Mh__fun_3816
  0.00      0.07     0.00      100     0.00     0.00  camlStdlib__map__create_150
  0.00      0.07     0.00       96     0.00     0.00  caml_process_pending_signals
  0.00      0.07     0.00       95     0.00     0.00  caml_hash_mix_string
  0.00      0.07     0.00       83     0.00     0.28  caml_garbage_collection
  0.00      0.07     0.00       80     0.00     0.00  camlCamlinternalMod__overwrite_152
  0.00      0.07     0.00       73     0.00     0.00  caml_apply3
  0.00      0.07     0.00       70     0.00     0.00  camlStdlib__obj__create_267
  0.00      0.07     0.00       70     0.00     0.00  camlStdlib__obj__raise_if_invalid_offset_271
  0.00      0.07     0.00       70     0.00     0.00  camlStdlib__obj__set_key_284
  0.00      0.07     0.00       70     0.00     0.00  caml_ephe_create
  0.00      0.07     0.00       70     0.00     0.00  caml_ephe_set_data
  0.00      0.07     0.00       70     0.00     0.00  caml_ephe_set_key
  0.00      0.07     0.00       70     0.00     0.00  caml_ephemeron_create
  0.00      0.07     0.00       70     0.00     0.00  caml_ephemeron_set_data
  0.00      0.07     0.00       70     0.00     0.00  caml_ephemeron_set_key
  0.00      0.07     0.00       70     0.00     0.00  caml_weak_create
  0.00      0.07     0.00       58     0.00     0.17  caml_major_collection_slice
  0.00      0.07     0.00       58     0.00     0.00  caml_obj_tag
  0.00      0.07     0.00       55     0.00     0.00  caml_final_do_calls
  0.00      0.07     0.00       55     0.00     0.00  caml_final_empty_young
  0.00      0.07     0.00       55     0.00     0.00  caml_final_oldify_young_roots
  0.00      0.07     0.00       55     0.00     0.00  caml_final_update_minor_roots
