model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,16137.3333333,109477.333333,373154.666667,44.4010383596,5933.11776176,28852.9692324
smc,16096.0,107026.666667,387981.333333,46.160670128,1010.58200337,37933.5663796
rej,15844.0,107516.0,379764.0,35.2557941652,1855.10959945,39578.8271261
