model,OwlPPL,WebPPL,Anglican,err-OwlPPL,err-WebPPL,err-Anglican
mh,92.6666666667,777.333333333,137.0,0.533444432873,26.0406132943,3.33135941555
smc,94.6666666667,854.333333333,106.333333333,1.92336125533,24.6599077827,5.56932338466
rej,633.66,772.0,79.6666666667,66.4,8.05483429721,5.08873556295
